Numéro d'AMM,Nom du produit,Firme,Substance active,Unité
2160342,LONTREL 600,DOW AGROSCIENCES SAS,clopyralid dimÃ©thylamine (Clopyralid) 741 g/L,L/ha
2160704,ROUNDUP 720,MONSANTO SAS,glyphosate sel d'ammonium (Glyphosate) 832 g/kg,kg/ha
2160752,ONYX,BELCHIM CROP PROTECTION NV/SA,Pyridate (Pyridate) 600 g/L,L/ha
2160271,NEO-STOP 120 RTU,ARYSTA LIFESCIENCE BENELUX SPRL,chlorprophame (Chlorpropham) 120 g/L,L/t
2160726,DELAN PRO,BASF FRANCE SAS,dithianon (Dithianon) 125 g/L | Phosphonate de potassium (Phosphonate de potassium) 561.2 g/L,L/ha
2160484,DIFEND EXTRA,GLOBACHEM NV,difÃ©noconazole (Difenoconazole) 25 g/L | Fludioxonil (Fludioxonil) 25 g/L,L/q
9600390,TYPHON,ADAMA FRANCE SAS,glyphosate sel d'isopropylamine (Glyphosate) 486 g/L,L/ha
2100166,TYPHON JARDIN,ADAMA FRANCE SAS,glyphosate sel d'isopropylamine (Glyphosate) 485.9 g/L,mL/10 mÂ²
2130034,SOLOFOL,BELCHIM CROP PROTECTION NV/SA,folpel (Folpet) 800 g/kg,kg/ha
8600243,CHALLENGE 600,BAYER SAS,aclonifÃ¨ne (Aclonifen) 600 g/L,L/ha
2120216,ALPHATAR,C.P.C CROP PROTECTION COMPANY,alpha-cypermÃ©thrine (Alpha-Cypermethrin) 100 g/L,L/ha
9400410,TCHAO PLUS EV,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,
2020013,BRONCO,ADAMA FRANCE SAS,bromoxynil ester octanoÃ¯que (Bromoxynil) 225 g/L,L/ha
2150002,BREVIS,ADAMA FRANCE SAS,Metamitron (Metamitron) 150 g/kg,kg/ha
2010584,TECTO 500 SC,SYNGENTA FRANCE SAS,thiabendazole (Thiabendazole) 500 g/L,L/hL
9800555,ASTEROIDE,CHEMINOVA A/S,glyphosate sel d'isopropylamine (Glyphosate) 486 g/L,L/ha
2150790,NATUREN LIMEX,SCOTTS FRANCE S.A.S.,phosphate ferrique (Ferric phosphate) 10 g/kg,g/10 mÂ²
2160005,VERIGAL D+,ADAMA FRANCE SAS,bifÃ©nox (Bifenox) 250 g/L | mÃ©coprop-P (Mecoprop-P) 308 g/L,L/ha
9200494,SONIS,SYNGENTA FRANCE SAS,ethephon (Ethephon) 250 g/L | trinexapac-Ã©thyl (Trinexapac) 250 g/L,L/ha
2100218,SORMIOU DISPERSS,CEREXAGRI S.A.S.,quinoxyfÃ¨ne (Quinoxyfen) 7 g/kg | soufre (Sulphur) 800 g/kg,kg/ha
2010324,SPAHIS JARDIN,PHYTEUROP,metaldÃ©hyde (Metaldehyde) 5 %,g/mÂ²
2150755,MOLIDOR,SAPEC AGRO SA,azoxystrobine (Azoxystrobin) 93.5 g/L | folpel (Folpet) 500 g/L,L/ha
8400255,ALLIE,DUPONT SOLUTIONS (FRANCE) S.A.S.,Metsulfuron-methyl (Metsulfuron-methyl) 20 %,kg/ha
9600398,ALLIAGE,BASF FRANCE SAS,krÃ©soxime-mÃ©thyle (Kresoxim-methyl) 50 %,kg/hL
2060119,ALLIE SX,DUPONT SOLUTIONS (FRANCE) S.A.S.,Metsulfuron-methyl (Metsulfuron-methyl) 20 %,kg/ha
9600386,ALIETTE EV,BAYER SAS,fosÃ©tyl (Fosetyl) 80 %,g/L
9600025,ALIETTE FLASH,BAYER SAS,fosÃ©tyl (Fosetyl) 80 %,kg/ha
2120088,ALLEATO 80 WG,HELM AG,fosÃ©tyl (Fosetyl) 800 g/kg,kg/ha
2110177,CHEROKEE,SYNGENTA FRANCE SAS,chlorothalonil (Chlorothalonil) 375 g/L | cyproconazole (Cyproconazole) 50 g/L | propiconazole (Propiconazole) 62.5 g/L,L/ha
2120205,CERIAX,BASF FRANCE SAS,Ã©poxiconazole (Epoxiconazole) 41.6 g/L | Pyraclostrobin (Pyraclostrobin) 66.6 g/L | fluxapyroxad (Fluxapyroxad) 41.6 g/L,L/ha
8900633,UMUPRO JARDIN GLU,RHODIA CHIMIE,Huile de riccin ethoxylee (Huile de riccin ethoxylee) 64 % | rÃ©sines (Resines) 32 %,
2130226,SABUESO,"PROPLAN Plant Protection Company, S.L.",iprodione (Iprodione) 500 g/kg,kg/ha
9800401,SPASIS,COMPTOIR COMMERCIAL  DES LUBRIFIANTS,huile de paraffine (Paraffin oils) 817 g/L,L/hL
2150104,OVIPRON EXTRA,CEREXAGRI S.A.S.,huile de paraffine (Paraffin oils) 817 g/L,L/hL
2010613,ALL IN ONE,CHEMINOVA A/S,glyphosate sel d'isopropylamine (Glyphosate) 486 g/L,L/ha
2110059,ARMICARB,DE SANGOSSE,Bicarbonate de potassium (Bicarbonate de potassium) 850 g/kg | hydrogÃ©nocarbonate de potassium (Potassium hydrogen carbonate) 850 g/kg,kg/ha
2110196,ARMICARB JARDIN,DE SANGOSSE,hydrogÃ©nocarbonate de potassium (Potassium hydrogen carbonate) 850 g/kg,g/mÂ²
2110195,CERTASOL,FLÃœGEL GMBH,farine de sang (Blood meal) 998 g/kg,kg/ha
2150103,ACTIPRON EXTRA,CEREXAGRI S.A.S.,huile de paraffine (Paraffin oils) 817 g/L,L/hL
2030255,TEBUCUR 250,GLOBACHEM NV,tÃ©buconazole (Tebuconazole) 250 g/L,L/ha
9800514,AIKIDO,ISK BIOSCIENCES EUROPE S.A.,flazasulfuron (Flazasulfuron) 25 %,kg/ha
2040203,AIM 40WG,FMC CHEMICAL SPRL,carfentrazone-Ã©thyl (Carfentrazone-ethyl) 400 g/kg,kg/ha
9400008,ALIOS,BASF FRANCE SAS,triticonazole (Triticonazole) 300 g/L,L/unitÃ©
2010531,ALISEO GOLD SAFENEUR,SYNGENTA FRANCE SAS,benoxacor (Benoxacor) 45 g/L | S-MÃ©tolachlore (S-Metolachlor) 915 g/L,L/ha
2060128,ALISTER,BAYER SAS,diflufÃ©nicanil (Diflufenican) 154.6 g/L | iodosulfuron-mÃ©thyl-sodium (Iodosulfuron) 3.3 g/L | mÃ©sosulfuron-methyle (Mesosulfuron) 10.1 g/L,L/ha
2110082,ALLIANCE WG,NUFARM S.A,diflufÃ©nicanil (Diflufenican) 600 g/kg | Metsulfuron-methyl (Metsulfuron-methyl) 60 g/kg,kg/ha
2100014,ALLIE DUO SX,DUPONT SOLUTIONS (FRANCE) S.A.S.,Metsulfuron-methyl (Metsulfuron-methyl) 67 g/kg | thifensulfuron (Thifensulfuron) 333 g/kg,kg/ha
9600197,ALLIE EXPRESS,DUPONT SOLUTIONS (FRANCE) S.A.S.,Metsulfuron-methyl (Metsulfuron-methyl) 10 % | carfentrazone-Ã©thyl (Carfentrazone-ethyl) 40 %,kg/ha
2090054,ALLIE MAX SX,DUPONT SOLUTIONS (FRANCE) S.A.S.,Metsulfuron-methyl (Metsulfuron-methyl) 143 g/kg | tribenuron (Tribenuron) 143 g/kg,kg/ha
2090057,ALLIE STAR SX,DUPONT SOLUTIONS (FRANCE) S.A.S.,Metsulfuron-methyl (Metsulfuron-methyl) 111 g/kg | tribenuron (Tribenuron) 222 g/kg,kg/ha
9800054,ALMANACH FLASH,PHYTEUROP,cymoxanil (Cymoxanil) 26.7 g/kg | fosÃ©tyl (Fosetyl) 333 g/kg | mancozÃ¨be (Mancozeb) 333 g/kg,kg/hL
2100176,ALPA,BAYER SAS,isoxaflutole (Isoxaflutole) 44 g/L,L/ha
2100122,ALTACOR,DUPONT SOLUTIONS (FRANCE) S.A.S.,Chlorantraniliprole (Chlorantraniliprole) 35 %,kg/ha
9600101,ARMOTHIN,AKZO NOBEL SURFACE CHEMISTRY,Polymere d'amine gras (Polymere d'amine gras) 94 %,L/hL
9000678,ARMURE,SYNGENTA FRANCE SAS,difÃ©noconazole (Difenoconazole) 150 g/L | propiconazole (Propiconazole) 150 g/L,L/ha
9500579,ARPEGE EW,PHYTEUROP,tÃ©traconazole (Tetraconazole) 125 g/L,L/ha
9400510,ASTOR,BASF FRANCE SAS,alpha-cypermÃ©thrine (Alpha-Cypermethrin) 100 g/L,L/ha
2000086,ASTOR MD,BASF FRANCE SAS,alpha-cypermÃ©thrine (Alpha-Cypermethrin) 15 %,kg/ha
9600022,ALPHASIS EV,COMPTOIR COMMERCIAL  DES LUBRIFIANTS,huile de paraffine (Paraffin oils) 817 g/L,L/hL
2150106,BOA HD,DOW AGROSCIENCES SAS,cyhalofop-butyl (Cyhalofop butyl) 100 g/L | pÃ©noxsulame (Penoxsulam) 13.3 g/L,L/ha
2120049,BROCAR 240,ADAMA FRANCE SAS,clodinafop-propargyl (Clodinafop-propargyl) 240 g/L | cloquintocet-mexyl (Cloquintocet-mexyl) 60 g/L | cloquintocet-mexyl (Cloquintocet-mexyl) 60 g/L,L/ha
2100058,BROCELIAN,BAYER SAS,captane (Captan) 600 g/kg | trifloxystrobine (Trifloxystrobin) 40 g/kg,kg/ha
2040311,BROTHER 500,ADAMA FRANCE SAS,mÃ©tazachlore (Metazachlor) 500 g/L,L/ha
9300082,BUGGY CONCENTRE,PHYTEUROP,glyphosate sel d'ammonium (Glyphosate) 720 g/kg,kg/ha
2020269,BUGGY PLUS,MONSANTO SAS,glyphosate (Glyphosate) 23.8 % | glyphosate sel d'isopropylamine (Glyphosate) 270 g/L,L/ha
2110162,TAZER 250 SC,NUFARM S.A.S.,azoxystrobine (Azoxystrobin) 250 g/L,L/ha
9400406,TCHAO PLUS DT,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
9800244,TELDOR,BAYER SAS,fenhexamide (Fenhexamid) 50 %,kg/ha
7700681,CESARINE DOR,DELPECH,cuivre de l'oxychlorure de cuivre (Copper compounds) 5 % | soufre triture ventile (Sulphur) 70 %,kg/ha
9600097,CHAMP FLO,NUFARM S.A,cuivre de l'hydroxyde de cuivre (Copper compounds) 360 g/L,kg/ha
2000517,CHAMP FLO AMPLI,NUFARM S.A,cuivre de l'hydroxyde de cuivre (Copper compounds) 360 g/L,kg/ha
9900202,CHEKKER,BAYER SAS,amidosulfuron (Amidosulfuron) 12.5 % | iodosulfuron-mÃ©thyl-sodium (Iodosulfuron) 1.25 %,kg/ha
2100248,CHEM COPP 50,DOBRIANSKY STEPHANE,cuivre de l'oxyde cuivreux (Copper compounds) 50 %,kg/hL
2110060,CHEYENNE,PHILAGRO,clothianidine (Clothianidin) 7 g/kg,kg/ha
2020348,CHIPCO GREEN,BAYER SAS,iprodione (Iprodione) 255 g/L,L/ha
2020099,TWIST 500 SC,BAYER SAS,trifloxystrobine (Trifloxystrobin) 500 g/L,L/ha
9400336,TYRAN,TAMINCO BVBA,chlormÃ©quat (Chlormequat) 460 g/L,L/ha
2140207,LIFE SCIENTIFIC CLODINAFOP,LIFE SCIENTIFIC LTD,clodinafop-propargyl (Clodinafop-propargyl) 100 g/L,L/ha
2140232,CROP ZIP,CROP CHEM GmbH,alpha-cypermÃ©thrine (Alpha-Cypermethrin) 100 g/L,L/ha
2120041,KORIT 420 FS,KWIZDA AGRO GmbH,zirame (Ziram) 420 g/L,L/q
7100117,ACTELLIC LIQUIDE,SYNGENTA FRANCE SAS,pirimiphos-mÃ©thyl (Pirimiphos-methyl) 250 g/L,L/mÂ²
2140061,ALTAR PRO,ARYSTA LIFESCIENCE SAS,glyphosate (Glyphosate) 450 g/L,L/ha
2150057,SMARTFRESH PROTABS,AGROFRESH HOLDING France S.A.S., (1-Methyl-cyclopropene) 2 %,g/m3
2120073,ALTAR PJT,ARYSTA LIFESCIENCE SAS,glyphosate (Glyphosate) 360 g/L,L/ha
2160962,SERCADIS,BASF FRANCE SAS,fluxapyroxad (Fluxapyroxad) 300 g/L,L/ha
2010335,TCHAO J,ARYSTA LIFESCIENCE SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,mL/mÂ²
2010037,TYPY,ARYSTA LIFESCIENCE SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
2150839,TUSAL,Newbiotechnic S.A. (NBT),Trichoderma asperellum (Trichoderma asperellum strains ICC012 T25 and TV1) 100000000 UFC/g | Trichoderma atroviride SOUCHE: T11 Collection de cultures: no Collection es (Trichoderma atroviride) 100000000 UFC/g,kg/ha
2150248,BANJO FORTE,ADAMA FRANCE SAS,Dimethomorph (Dimethomorph) 200 g/L | fluaziname (Fluazinam) 200 g/L,L/ha
2120175,ALTAR EAJ,ARYSTA LIFESCIENCE SAS,glyphosate (Glyphosate) 360 g/L,mL/mÂ²
2120168,SOUFRE TRITURE 95%,AZUFRERA Y FERTILIZANTES PALLARES S.A,soufre (Sulphur) 95 % | soufre (Sulphur) 950 g/kg,kg/ha
2060192,SOUFROR,OR BRUN SAS,soufre (Sulphur) 80 %,kg/ha
2110101,SORCIER,PHILAGRO France,pyraflufÃ¨ne-Ã©thyle (Pyraflufen-ethyl) 26.5 g/L,L/ha
2130104,HOREME V200,CERTIS EUROPE BV,acÃ©tamipride (Acetamiprid) 200 g/kg,kg/ha
2160395,SAFRAN,PHYTEUROP,tÃ©traconazole (Tetraconazole) 50 g/L | fenbuconazole (Fenbuconazole) 50 g/L,L/ha
6700157,SOUFRUGEC,PHYTEUROP,soufre micronise (Sulphur) 80 %,kg/ha
2150175,ISOMATE-CLR,SUMI AGRO FRANCE,"(E,E)-8,10-dodÃ©cadien-1-ol (Straight Chain Lepidopteran Pheromones) 101 mg/diffuseur | dodÃ©canol (Dodecanol) 16 mg/diffuseur | (Z)-11-TetradÃ©cenyl acÃ©tate (Straight Chain Lepidopteran Pheromones) 101 mg/diffuseur | (Z)-9-tetradÃ©cen-1-yl acÃ©tate (Straight Chain Lepidopteran Pheromones) 19 mg/diffuseur | 1-TetradÃ©canol (1-Tetradecanol) 3 mg/diffuseur",diffuseurs/ha
2159995,PMV-01,DE CEUSTER MESTSTOFFEN NV,"virus de la mosaÃ¯que du pÃ©pino, souche CH2, isolat 1906  (Pepino Mosaic Virus, CH2 strain, isolate 1906) 500000 particules virales/ÂµL",L/ha
2120072,ALTAR EV,ARYSTA LIFESCIENCE SAS,glyphosate (Glyphosate) 360 g/L,L/ha
2150870,GLOBUS,GLOBACHEM NV,florasulame (Florasulam) 50 g/L,L/ha
2160175,IMPALA NEW,DOW AGROSCIENCES SAS,fenbuconazole (Fenbuconazole) 25 g/L,L/ha
2160412,LISERONS MOUSS',SBM DEVELOPPEMENT,"MCPA sel de dimethylamine (MCPA) 14.6 g/L | 2,4-D sel de dimethylamine (2,4-D) 7.4 g/L",
2150921,VINICUR,GLOBACHEM NV,Tebuconazole (Tebuconazole) 250 g/L,L/ha
2100036,CHECKMATE CM-XL,SUTERRA EUROPE BIOCONTROL SL,"(E,E)-8,10-dodÃ©cadien-1-ol (Straight Chain Lepidopteran Pheromones) 175.4 g/kg",diffuseurs/ha
2150179,CHECKMATE PUFFER CM-O,SUTERRA EUROPE BIOCONTROL SL,"(E,E)-8,10-dodÃ©cadien-1-ol (Straight Chain Lepidopteran Pheromones) 18.05 %",diffuseurs/ha
8000084,U 46 M BASF,NUFARM S.A.S.,MCPA sel de dimethylamine (MCPA) 490 g/L,L/ha
2120021,ALTAR,ARYSTA LIFESCIENCE SAS,glyphosate (Glyphosate) 360 g/L,L/ha
2150125,DIFLANIL SD,SAPEC AGRO SA,diflufÃ©nicanil (Diflufenican) 500 g/L,L/ha
2150853,MARACAS,ADAMA FRANCE SAS,prochloraz (Prochloraz) 225 g/L | Ã©poxiconazole (Epoxiconazole) 50 g/L,L/ha
2140235,ADENDA,COMPTOIR COMMERCIAL  DES LUBRIFIANTS,Esters methyliques d'acides gras (Esters methyliques d'acides gras) 831 g/L,L/ha
9000743,SOLUCUIVRE,PROVAL,cuivre du tallate de cuivre (Copper compounds) 50 g/L,L/ha
9600019,ARMOBLEN 650,AKZO NOBEL SURFACE CHEMISTRY AB,Polymere d'amine gras (Polymere d'amine gras) 50 % | Polysorbate 20 (Polysorbate 20) 50 %,L/hL
9400371,AGROTONIC,AGRIMER,Laminaria digitata (Laminaria digitata) 18 %,L/hL
9800275,ALKANE,COMPTOIR COMMERCIAL  DES LUBRIFIANTS,Huile minerale paraffinique (Huile minerale paraffinique) 846.45 g/L,L/ha
9900391,ARMILLE,COMPTOIR COMMERCIAL  DES LUBRIFIANTS,Huile minerale paraffinique (Huile minerale paraffinique) 846.45 g/L,L/ha
8500205,TECHNOMOUSSE,PHYTEUROP,Dimethyl polysiloxane (Dimethyl polysiloxane) 300 g/L,L/hL
9300058,CERPROTECTEUR NÂ°1,BAYER SAS,rÃ©sines (Resines) 200 g/L,L/q
9200550,CERTOP NÂ°3,BAYER SAS,Alcool polyvinylique (Alcool polyvinylique) 10 g/L,L/kg
9200551,CERTOP NÂ°4,BAYER SAS,Alcool polyvinylique (Alcool polyvinylique) 10 g/L,L/kg
2090145,CET M COLORE,SYNGENTA FRANCE SAS,Alpha oleine sulfonate de sodium (Alpha oleine sulfonate de sodium) 19 g/L,L/q
9900119,ROS-CLEAN,AMIFLOR SAS,isoxabÃ¨ne (Isoxaben) 0.13 % | oryzalin (Oryzalin) 0.54 %,g/mÂ²
9500269,TYR GSD,HYGIENE & NATURE,"2,4-D sel de dimethylamine (2,4-D) 0.7 % | dicamba sel de dimethylamine (Dicamba) 0.1 %",kg/ha
2060120/9300305,BELL + SPORTAK EW,BASF AGRO SAS,prochloraz (Prochloraz) 450 g/L | boscalide (Boscalid) 233 g/L | Ã©poxiconazole (Epoxiconazole) 67 g/L,L/ha
2110170 + 2110096,ADEXAR + BRAVO,BASF FRANCE SAS,Ã©poxiconazole (Epoxiconazole) 62.5 g/L | chlorothalonil (Chlorothalonil) 500 g/L | fluxapyroxad (Fluxapyroxad) 62.5 g/L,L/ha
2160278,VITIPEC WG ADVANCE,SAPEC AGRO S.A.,cymoxanil (Cymoxanil) 80 g/kg | Folpet (Folpet) 660 g/kg,kg/ha
2110178,AVIATOR XPRO,BAYER SAS,bixafÃ¨ne (Bixafen) 75 g/L | prothioconazole (Prothioconazole) 150 g/L,L/ha
2161027,RESOLVA 24H ACTION,SYNGENTA FRANCE SAS,Glyphosate (Glyphosate) 8.39 g/L,mL/10 mÂ²
2160305,SEMPRA,UPL France SAS,diflufÃ©nicanil (Diflufenican) 500 g/L,L/ha
9200117,SIMOUN,BAYER SAS,ethephon (Ethephon) 250 g/L,L/ha
2000369,SIMPLON,DUPONT SOLUTIONS (FRANCE) S.A.S.,Metsulfuron-methyl (Metsulfuron-methyl) 20 %,kg/ha
2010552,SIRBEL UD,BAYER SAS,folpel (Folpet) 56.25 % | iprovalicarbe (Iprovalicarb) 9 %,kg/ha
2120074,SITOFEX,ALZ CHEM,forchlorfÃ©nuron (Forchlorfenuron) 10 g/L,L/ha
2030110,SKAELIM,KOLLANT SPA,metaldÃ©hyde (Metaldehyde) 5 %,
9500581,SPATIAL PLUS,BAYER SAS,chlormÃ©quat (Chlormequat) 300 g/L | ethephon (Ethephon) 150 g/L,L/ha
9900414,SPELEO,DUPONT SOLUTIONS (FRANCE) S.A.S.,flupyrsulfuron-mÃ©thyl (Flupyrsulfuron-methyl) 33.3 % | Metsulfuron-methyl (Metsulfuron-methyl) 16.7 %,kg/ha
8400520,SPORGON,BASF FRANCE SAS,prochloraz (Prochloraz) 46.1 %,kg/ha
2140023,STALLION SYNC TEC,FMC CHEMICAL SPRL,clomazone (Clomazone) 30 g/L | pendimÃ©thaline (Pendimethalin) 333 g/L,L/ha
2090025,GLOTRON 70 WG,UNITED PHOSPHORUS LTD,mÃ©tamitrone (Metamitron) 70 %,kg/ha
2090011,ATIC AQUA,BASF FRANCE SAS,pendimÃ©thaline (Pendimethalin) 455 g/L,L/ha
9200215,AVISO DF,BASF FRANCE SAS,cymoxanil (Cymoxanil) 4.8 % | mÃ©tirame (Metiram) 57 %,kg/ha
8700462,DEFI,SYNGENTA FRANCE SAS,prosulfocarbe (Prosulfocarb) 800 g/L,L/ha
9600395,DELAN WG,BASF FRANCE SAS,dithianon (Dithianon) 70 %,kg/hL
2140093,HELOSATE PLUS,HELM AG,glyphosate (Glyphosate) 450 g/L,L/ha
2150792,GLOTRON WG,GLOBACHEM NV,mÃ©tamitrone (Metamitron) 700 g/kg,kg/ha
2160764,VENDETTA,CHEMINOVA A/S,Azoxystrobine (Azoxystrobine) 150 g/L | fluaziname (Fluazinam) 375 g/L,L/ha
8300214,CHLORISYL CP,ARYSTA LIFESCIENCE BENELUX SPRL,chlorprophame (Chlorpropham) 400 g/L,L/ha
2080123,DEFT,ROTAM AGROCHEMICAL EUROPE LIMITED,Metsulfuron-methyl (Metsulfuron-methyl) 200 g/kg,kg/ha
2060125,AGROGUARD-Z,BIO-OZ BIOTECHNOLOGIES LTD,"Zucchini Yellow Mosaik Virus, weak strain (Zucchini Yellow Mosaik Virus, weak strain) 0.05 mg/L",L/ha
2130103,ADIALIM JARDIN,TRADI AGRI,metaldÃ©hyde (Metaldehyde) 5 %,g/mÂ²
2130055,AGRIGUARD ETHOFUMESATE 200,AGRIGUARD LIMITED,ethofumesate (Ethofumesate) 200 g/L,L/ha
2140114,RITUEL WG,SAPEC AGRO S.A.,fosÃ©tyl (Fosetyl) 35 % | mancozÃ¨be (Mancozeb) 35 %,kg/ha
2040067,GLOPYRALID 100 SL,AGRIPHAR SA,clopyralid (Clopyralid) 100 g/L,L/ha
2100113,GLOQUAT SL,GLOBACHEM,diquat (dibromure) (Diquat (dibromide)) 200 g/L,L/ha
8700111,GLU ARBORICOLE PELTON 2,SCOTTS FRANCE S.A.S.,Huile de riccin ethoxylee (Huile de riccin ethoxylee) 64 % | rÃ©sines (Resines) 32 %,
9900399,GLU BASF HJ,COMPO FRANCE SAS,cire (Cire) 5 % | Huile de ricin (Huile de ricin) 65 % | rÃ©sines (Resines) 15 % | gomme manille (Gomme manille) 20 %,
9200011,GLU CLAUSE,OXADIS,Huile de riccin ethoxylee (Huile de riccin ethoxylee) 64 % | rÃ©sines (Resines) 32 %,
7400634,GLU LHOMME LEFORT,COMPAGNIE DES PRODUITS POUR LE JARDIN,cire (Cire) 5 % | Huile de ricin (Huile de ricin) 60 % | rÃ©sines (Resines) 15 % | gomme manille (Gomme manille) 20 %,
9500296,GLU NAVARRE,B. NAVARRE,Cire d'abeille (Cire d'abeille) 5 % | Colophane (Colophane) 35 % | Huile de resine (Huile de resine) 40 % | Huile de ricin (Huile de ricin) 20 %,
8700149,GLU V VILMORIN,OXADIS,Huile de riccin ethoxylee (Huile de riccin ethoxylee) 64 % | rÃ©sines (Resines) 32 %,
2130228,ARVAK,CHEMINOVA AGRO S.A. (ESPAGNE),iprodione (Iprodione) 500 g/kg,kg/ha
2120102,ASUR,SAATEN UNION RECHERCHE SAS,glycÃ©rol (Glycerol) 1254 g/L,L/hL
9500536,ATENA ETEPHON,SFP EUROPE SA,ethephon (Ethephon) 480 g/L,L/ha
8800827,AUBAINE,DOW AGROSCIENCES SAS,chlorotoluron (Chlorotoluron) 500 g/L | isoxabÃ¨ne (Isoxaben) 18.7 g/L,L/ha
2010537,AURORA 40 WG,FMC CHEMICAL SPRL,carfentrazone-Ã©thyl (Carfentrazone-ethyl) 400 g/kg,kg/ha
2140078,AUSTRAL PLUS NET,SYNGENTA FRANCE SAS,fludioxonil (Fludioxonil) 10 g/L | tÃ©fluthrine (Tefluthrin) 40 g/L,L/q
2090053,AUXO,BAYER SAS,bromoxynil octanoate (Bromoxynil) 262 g/L | tembotrione (Tembotrione) 50 g/L,L/ha
8800161,AVADEX 480,GOWAN FRANCE,triallate (Tri-allate) 480 g/L,L/ha
2110153,BOGOTA,SOCIETE  FINANCIERE DE PONTARLIER,chlormÃ©quat (Chlormequat) 300 g/L | ethephon (Ethephon) 150 g/L,L/ha
2120131,BOUDHA,ROTAM AGROCHEMICAL EUROPE LIMITED,Metsulfuron-methyl (Metsulfuron-methyl) 250 g/kg | tribenuron (Tribenuron) 250 g/kg,kg/ha
6200075,BOUILLIE BORDELAISE RSR,CEREXAGRI S.A.S.,sulfate de cuivre (Copper compounds) 20 %,kg/hL
9500452,BOUILLIE BORDELAISE RSR DISPERSS,CEREXAGRI S.A.S.,composÃ©s du cuivre (Copper compounds) 20 %,kg/hL
2150087,BOUILLIE BORDELAISE RSR DISPERSS JARDIN,CEREXAGRI S.A.S.,composÃ©s du cuivre (Copper compounds) 20 %,kg/hL
9800474,BOUILLIE BORDELAISE RSR DISPERSS NC,CEREXAGRI S.A.S.,composÃ©s du cuivre (Copper compounds) 20 %,kg/hL
9900013,BOUILLIE BORDELAISE RSR NC,CEREXAGRI S.A.S.,sulfate de cuivre (Copper compounds) 20 %,kg/hL
2160016,FOSFOCYMSTAR,LIFE SCIENTIFIC LTD,folpel (Folpet) 250 g/kg | cymoxanil (Cymoxanil) 40 g/kg | fosÃ©tyl (Fosetyl) 500 g/kg,kg/ha
2090080,DECANO,SAPEC AGRO S.A.,sulcotrione (Sulcotrione) 300 g/L,L/ha
2100078,DECIS AL,BAYER SAS,deltamÃ©thrine (Deltamethrin) 0.0075 g/L,mL/mÂ²
2000324,DECIS EXPERT,BAYER SAS,deltamÃ©thrine (Deltamethrin) 10.5 %,L/ha
2030125,DECIS J,BAYER SAS,deltamÃ©thrine (Deltamethrin) 15 g/L,mL/L
2120219,DEDICATE,BAYER SAS,tÃ©buconazole (Tebuconazole) 200 g/L | trifloxystrobine (Trifloxystrobin) 100 g/L,L/ha
2110151,DEFI MAJOR,SYNGENTA FRANCE SAS,clodinafop-propargyl (Clodinafop-propargyl) 10 g/L | prosulfocarbe (Prosulfocarb) 800 g/L | cloquintocet-mexyl (Cloquintocet-mexyl) 2.5 g/L,L/ha
2110192,DEFT PREMIUM,ROTAM AGROCHEMICAL EUROPE LIMITED,Metsulfuron-methyl (Metsulfuron-methyl) 20 %,kg/ha
9200482,DELFIN,CERTIS EUROPE BV,Bacillus thuringiensis subsp. kurstaki SOUCHE: SA 11 Collection de cultures (Bacillus thuringiensis subsp. kurstaki) 32000 UIAK/mg,kg/ha
2130263,TERLIN DF,OXON ITALIA,chloridazone (Chloridazon) 650 g/kg,kg/ha
7900708,TERPAL,BASF FRANCE SAS,ethephon (Ethephon) 155 g/L | chlorure de mÃ©piquat (Mepiquat) 305 g/L,L/ha
9700055,TERSOL 360 DT,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
2110163,DRAZIK 200,NOVASTAR LINK LTD,diquat (dibromure) (Diquat (dibromide)) 200 g/L,L/ha
2130227,DRIZA WG,INDUSTRIAS AFRASA,iprodione (Iprodione) 500 g/kg,kg/ha
9800259,DUAL GOLD SAFENEUR,SYNGENTA FRANCE SAS,benoxacor (Benoxacor) 45 g/L | S-MÃ©tolachlore (S-Metolachlor) 915 g/L,L/ha
2090033,DUAXO,COMPO FRANCE SAS,difÃ©noconazole (Difenoconazole) 16.7 g/L,mL/mÂ²
2090034,DUAXO EASY,COMPO FRANCE SAS,difÃ©noconazole (Difenoconazole) 0.167 g/L,mL/mÂ²
9000144,DUCAT,ADAMA FRANCE SAS,beta-cyfluthrine (Beta-Cyfluthrin) 25 g/L,L/ha
2010281,DUCTIS,DUPONT SOLUTIONS (FRANCE) S.A.S.,flupyrsulfuron-mÃ©thyl (Flupyrsulfuron-methyl) 50 %,kg/ha
2140152,OTHELLO,BAYER SAS,diflufÃ©nicanil (Diflufenican) 50 g/L | iodosulfuron-mÃ©thyl-sodium (Iodosulfuron) 2.5 g/L | mÃ©sosulfuron-methyle (Mesosulfuron) 7.5 g/L,L/ha
2140237,CAIMAN PLUS,ARYSTA LIFESCIENCE SAS,mancozÃ¨be (Mancozeb) 800 g/kg,kg/ha
