Numéro d'AMM,Nom du produit,Firme,Substance active,Unité
2050145,HERBATAK 2 PLUS,SCOTTS FRANCE S.A.S.,diflufÃ©nicanil (Diflufenican) 20 g/L | glyphosate sel d'isopropylamine (Glyphosate) 125 g/L,L/ha
2130093,HERBATAK 2 PAL,SCOTTS FRANCE S.A.S.,glyphosate sel d'isopropylamine (Glyphosate) 3.6 g/L | diflufÃ©nicanil (Diflufenican) 0.576 g/L,L/ha
8900564,MAVRIK FLO,ADAMA FRANCE SAS,tau-fluvalinate (Tau-Fluvalinate) 240 g/L,L/ha
2140118,FILDER,ARYSTA LIFESCIENCE BENELUX SPRL,dimÃ©thomorphe (Dimethomorph) 90 g/kg | mancozÃ¨be (Mancozeb) 600 g/kg,kg/ha
9500161,GALAXIC,ARYSTA LIFESCIENCE SAS,glyphosate (Glyphosate) 180 g/L,mL/mÂ²
2130261,FURY GEO,FMC CHEMICAL SPRL,zeta-CypermÃ©thrine (Zeta-Cypermethrin) 8 g/kg,kg/ha
9300309,FURY 10 EW,FMC CHEMICAL SPRL,zeta-CypermÃ©thrine (Zeta-Cypermethrin) 100 g/L,L/ha
2120082,BOTECTOR,BIO FERM GMBH,Aureobasidium pullulans souche DSM 19940 (Aureobasidium pullulans (strains DSM 14940 and DSM 14941)) 2500000000 UFC/g | Aureobasidium pullulans souche DSM 19941 (Aureobasidium pullulans (strains DSM 14940 and DSM 14941)) 2500000000 UFC/g,kg/ha
9400196,DETIA GAS EX B,DETIA DEGESCH GMBH,phosphure d'aluminium (Aluminium phosphide) 57 %,
2020437,ENVIRONET EV,ARYSTA LIFESCIENCE SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
9000197,BETTER DF,PHYTEUROP,chloridazone (Chloridazon) 65 %,kg/ha
2000404,VELEZIA,TOTAL FLUIDES,Huile minerale paraffinique (Huile minerale paraffinique) 790 g/L,L/ha
7200313,HELIOSOL,ACTION PIN,Alcools terpeniques (Alcools terpeniques) 665 g/L,L/hL
9800099,AQUABIOL,SAMABIOL,Alcools terpeniques (Alcools terpeniques) 665 g/L,L/hL
9700544,ESCAPADE,ACTION PIN,Alcools terpeniques (Alcools terpeniques) 665 g/L,L/hL
